abi	abc	fbi	0.9	0.91	1.81	0.6597410440444946
abierto	abidal	alberto	0.87	0.9	1.77	0.8052586317062378
abisan	abc	san	0.9	1.0	1.9	0.6883326768875122
abita	aba	ita	0.9	1.0	1.9	0.632474422454834
abj	abb	obj	0.9	0.91	1.81	0.7293258309364319
ablum	abe	alum	0.9	0.94	1.8399999999999999	0.6852546334266663
abonmination	abode	libation	0.89	0.92	1.81	0.7454571723937988
abots	abt	lots	0.9	0.94	1.8399999999999999	0.6096116900444031
abouta	abe	uta	0.9	1.0	1.9	0.6325513124465942
aboutt	abs	butt	0.9	0.94	1.8399999999999999	0.6005529165267944
abput	abs	put	0.9	1.0	1.9	0.6722432971000671
absoultely	abseil	quitely	0.87	0.9	1.77	0.6425189971923828
abuela	abb	neela	0.9	0.9	1.8	0.6195910573005676
abwen	abo	wen	0.9	1.0	1.9	0.6272861361503601
aca	acy	dca	0.9	0.91	1.81	0.6667252779006958
acabe	acc	babe	0.9	0.94	1.8399999999999999	0.6265368461608887
accento	accede	asiento	0.87	0.9	1.77	0.6133654713630676
accidenty	accept	plenty	0.87	0.92	1.79	0.6926413178443909
accoutable	accept	able	0.87	1.0	1.87	0.8609106540679932
accpect	acca	spect	0.93	0.95	1.88	0.613178551197052
acepta	acy	septa	0.9	0.9	1.8	0.6674069166183472
aceptame	aces	tame	0.93	1.0	1.9300000000000002	0.6440200805664062
acerques	aceite	toques	0.87	0.92	1.79	0.6253505349159241
ackeem	ach	neem	0.9	0.94	1.8399999999999999	0.8390142321586609
ackward	ackee	leeward	0.89	0.9	1.79	0.6771693229675293
acomplish	acoma	alish	0.89	0.95	1.8399999999999999	0.6564890742301941
acontecem	acoma	decem	0.89	0.95	1.8399999999999999	0.6551666855812073
acortan	acorn	spartan	0.89	0.9	1.79	0.6116857528686523
acostrumbre	acoma	umbre	0.89	1.0	1.8900000000000001	0.6269913911819458
acostumbra	acoma	zambra	0.89	0.92	1.81	0.6059049367904663
acostumbre	acoma	umbre	0.89	0.95	1.8399999999999999	0.6269913911819458
acquaintences	acquires	licences	0.88	0.92	1.8	0.6832584142684937
activa	acy	shiva	0.9	0.9	1.8	0.610981822013855
actting	acting	ting	0.87	1.0	1.87	0.6643990874290466
actuaria	acton	sharia	0.89	0.92	1.81	0.6272880434989929
acustomed	acus	domed	0.93	0.95	1.88	0.6282936334609985
acutally	acumen	bally	0.87	0.95	1.8199999999999998	0.6540194749832153
addicited	adder	plaited	0.89	0.9	1.79	0.6128842830657959
addin	adz	eldin	0.9	0.9	1.8	0.6138209104537964
adedoying	adept	relying	0.89	0.9	1.79	0.6314009428024292
adi	adp	udi	0.9	0.91	1.81	0.6728321313858032
adibas	ade	bas	0.9	1.0	1.9	0.6457182765007019
adorablee	adon	blee	0.93	1.0	1.9300000000000002	0.7377414703369141
adorejanae	adobes	danae	0.87	0.95	1.8199999999999998	0.6125332117080688
adoro	adz	nyoro	0.9	0.9	1.8	0.6633987426757812
adroable	adroit	bable	0.87	0.95	1.8199999999999998	0.6366598606109619
adthe	add	the	0.9	1.0	1.9	0.6972853541374207
advil	adj	anvil	0.9	0.9	1.8	0.684074342250824
advocators	advt	tors	0.93	1.0	1.9300000000000002	0.677003026008606
affraid	affect	afraid	0.87	0.92	1.79	0.7578098773956299
africano	afro	chicano	0.93	0.9	1.83	0.6034915447235107
afrijammers	afros	hammers	0.89	0.94	1.83	0.671434760093689
aftanoon	aft	noon	1.0	1.0	2.0	0.6935598850250244
afterdark	after	dark	0.89	1.0	1.8900000000000001	0.7184529304504395
afterparty	after	party	0.89	0.95	1.8399999999999999	0.7996144890785217
afuera	aff	era	0.9	1.0	1.9	0.6084085702896118
agaisnt	again	isnt	0.89	1.0	1.8900000000000001	0.8253178000450134
agame	age	came	0.9	0.94	1.8399999999999999	0.7583468556404114
ageness	agee	maness	0.93	0.92	1.85	0.7353408336639404
agg	age	egg	0.9	0.91	1.81	0.6029632091522217
aggrivated	aggers	ated	0.87	1.0	1.87	0.6127355098724365
agh	age	ugh	0.9	0.91	1.81	0.6732732057571411
agian	age	ian	0.9	1.0	1.9	0.6559193730354309
aguanta	ague	ganta	0.93	0.95	1.88	0.7663470506668091
aguantan	ague	rantan	0.93	0.92	1.85	0.6147503852844238
aguanto	ague	lepanto	0.93	0.9	1.83	0.7321777939796448
agurin	aga	rin	0.9	1.0	1.9	0.6934940814971924
ahh	aha	shh	0.9	0.91	1.81	0.6660669445991516
ahhah	aha	hah	0.9	1.0	1.9	0.7410038709640503
ahkay	aha	kay	0.9	1.0	1.9	0.6269400119781494
ahmir	ahu	amir	0.9	0.94	1.8399999999999999	0.6543735265731812
ahnna	aha	wanna	0.9	0.9	1.8	0.7159093022346497
aholes	aho	ales	0.9	0.94	1.8399999999999999	0.6066111326217651
ahora	aho	gora	0.9	0.94	1.8399999999999999	0.614152729511261
ahy	aha	shy	0.9	0.91	1.81	0.6117096543312073
aight	aid	fight	0.9	0.9	1.8	0.6492420434951782
aii	ain	oii	0.9	0.91	1.81	0.7181496620178223
aiight	aid	fight	0.9	0.9	1.8	0.6492420434951782
aiint	aid	int	0.9	1.0	1.9	0.6225995421409607
aiite	air	white	0.9	0.9	1.8	0.6593936681747437
ainda	air	honda	0.9	0.9	1.8	0.6902871131896973
airballed	airway	stalled	0.87	0.9	1.77	0.6173373460769653
airbriushed	airmen	ambushed	0.87	0.92	1.79	0.612175464630127
akeam	aka	dream	0.9	0.9	1.8	0.8079226613044739
akkin	ako	akin	0.9	0.94	1.8399999999999999	0.8372839689254761
akting	aka	ing	0.9	1.0	1.9	0.6379892826080322
akurat	aka	rat	0.9	1.0	1.9	0.6695239543914795
akward	aka	card	0.9	0.94	1.8399999999999999	0.6176199316978455
aky	aka	sky	0.9	0.91	1.81	0.6811555027961731
alakija	alada	rakija	0.89	0.92	1.81	0.6737126111984253
alanta	ald	ganta	0.9	0.9	1.8	0.6746417284011841
alcance	alca	hance	0.93	0.95	1.88	0.6110297441482544
alcapone	alc	capone	1.0	0.92	1.92	0.6206676959991455
alchie	ald	hie	0.9	1.0	1.9	0.7738119959831238
aldous	ald	pious	0.9	0.9	1.8	0.6165847778320312
alegria	ales	sangria	0.93	0.9	1.83	0.6220138072967529
